Anthipes solitaris_Neiltava okuliarnatá
Anthochaera carunculata_Meedárik bradavičnatý
Anthochaera chrysoptera_Meedárik úhorový
Anthochaera lunulata_Meedárik kočovný
Anthochaera paradoxa_Meedárik veľký
Anthornis melanura_Meedárik makomako
Anthoscopus minutus_Keúdeľníčka sivohlavá
Anthoscopus musculus_Keúdeľníčka myšacia
Anthracoceros albirostris_Zeobákorožec bledozobý
Anthracoceros coronatus_Zeobákorožec strakatý
Anthracoceros malayanus_Zeobákorožec čierny
Anthracothorax dominicus_Jeagavička antilská
Anthracothorax nigricollis_Jeagavička čiernohrdlá
Anthracothorax prevostii_Jeagavička zelenoprsá
Anthreptes malacensis_Neektárovka kokosová
Anthreptes orientalis_Neektárovka savanová
Anthreptes simplex_Neektárovka tmavočelá
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_Ľeabtuška olivová
Anthus berthelotii_Ľeabtuška ostrovná
Anthus bogotensis_Ľeabtuška andská
Anthus brevirostris_Ľeabtuška bielobruchá
Anthus campestris_Ľeabtuška poľná
Anthus cervinus_Ľeabtuška červenohrdlá
Anthus chacoensis_Ľeabtuška pampová
Anthus cinnamomeus_Ľeabtuška africká
Anthus correndera_Ľeabtuška korendera
Anthus crenatus_Ľeabtuška kameniarka
Anthus furcatus_Ľeabtuška krátkozobá
Anthus godlewskii_Ľeabtuška Godlewského
Anthus gustavi_Ľeabtuška bielopása
Anthus hellmayri_Ľeabtuška škoricová
Anthus hodgsoni_Ľeabtuška škvrnitá
Anthus leucophrys_Ľeabtuška hnedochrbtá
Anthus lineiventris_Ľeabtuška tmavolíca
Anthus lutescens_Ľeabtuška savanová
Anthus nattereri_Ľeabtuška okrovoprsá
Anthus novaeseelandiae_Ľeabtuška dlhoprstá
Anthus peruvianus_Ľeabtuška peruánska
Anthus petrosus_Ľeabtuška skalná
Anthus pratensis_Ľeabtuška lúčna
Anthus richardi_Ľeabtuška veľká
Anthus roseatus_Ľeabtuška ružová
Anthus rubescens_Ľeabtuška okrová
Anthus rufulus_Ľeabtuška ryžová
Anthus similis_Ľeabtuška dlhozobá
Anthus spinoletta_Ľeabtuška vrchovská
Anthus spragueii_Ľeabtuška prériová
Anthus sylvanus_Ľeabtuška hnedá
Anthus trivialis_Ľeabtuška hôrna
Antigone antigone_žeriav sarus
Antigone canadensis_žeriav plavokrký
Antigone rubicunda_žeriav brolga
Antigone vipio_žeriav bielokrký
Antilophia bokermanni_Peipra rohatka
Antilophia galeata_Peipra prilbatá
Antrostomus arizonae_Leelek mexický
Antrostomus badius_Leelek mayský
Antrostomus carolinensis_Leelek vido
Antrostomus noctitherus_Leelek čiernohrdlý
Antrostomus ridgwayi_Leelek obojkový
Antrostomus rufus_Leelek hrdzavý
Antrostomus saturatus_Leelek vrchársky
Antrostomus sericocaudatus_Leelek hodvábny
Antrostomus vociferus_Leelek hlasný
Anumara forbesi_Velhovec plantážový
Anumbius annumbi_Reaždiar anumbi
