Ardenna grisea_буревісник сивий
Ardenna pacifica_буревісник клинохвостий
Ardeola bacchus_чапля китайська
Ardeola grayii_чапля індійська
Ardeola ralloides_чапля жовта
Arenaria interpres_крем’яшник звичайний
Arenaria melanocephala_крем’яшник чорний
Argusianus argus_аргус великий
Arizelocichla chlorigula_Yellow-throated Mountain Greenbul
Arremon abeillei_тихоголос західний
Arremon assimilis_тихоголос великий
Arremon atricapillus_тихоголос чорноголовий
Arremon aurantiirostris_тихоголос золотодзьобий
Arremon basilicus_тихоголос санта-мартійський
Arremon brunneinucha_заросляк каштановоголовий
Arremon castaneiceps_рудоголов оливковий
Arremon costaricensis_тихоголос коста-риканський
Arremon crassirostris_рудоголов біловусий
Arremon flavirostris_тихоголос жовтодзьобий
Arremon franciscanus_тихоголос багійський
Arremon schlegeli_тихоголос золотокрилий
Arremon semitorquatus_тихоголос південний
Arremon taciturnus_тихоголос амазонійський
Arremon torquatus_заросляк строкатоголовий
Arremon virenticeps_заросляк мексиканський
Arremonops chloronotus_риджвея зеленоспинна
Arremonops conirostris_риджвея сивоголова
Arremonops rufivirgatus_риджвея оливкова
Arremonops tocuyensis_риджвея токуянська
Arses telescopthalmus_монарх-голоок південний
Artamus cinereus_ланграйн чорнощокий
Artamus cyanopterus_ланграйн бурий
Artamus fuscus_ланграйн пальмовий
Artamus leucorynchus_ланграйн білогрудий
Artamus maximus_ланграйн великий
Artamus personatus_ланграйн масковий
Artamus superciliosus_ланграйн білобровий
Artemisiospiza belli_вівсянка-пустельниця каліфорнійська
Artemisiospiza nevadensis_вівсянка-пустельниця невадійська
Artisornis metopias_кравчик африканський
Artisornis moreaui_кравчик довгодзьобий
Arundinax aedon_очеретянка товстодзьоба
Arundinicola leucocephala_віюдита білоголова
Asemospiza fuliginosa_потрост чорний
Asemospiza obscura_потрост бурий
Asio clamator_Striped Owl
Asio flammeus_сова болотяна
Asio otus_сова вухата
Asio stygius_сова темна
Aspatha gularis_момот блакитногорлий
Asthenes anthoides_канастеро південний
Asthenes arequipae_Dark-winged Canastero
Asthenes baeri_канастеро короткодзьобий
Asthenes coryi_корпуана венесуельська
Asthenes dorbignyi_канастеро білочеревий
Asthenes flammulata_канастеро смугастий
Asthenes fuliginosa_корпуана білогорла
Asthenes griseomurina_корпуана еквадорська
Asthenes harterti_корпуана чорногорла
Asthenes helleri_корпуана плямистощока
Asthenes heterura_канастеро болівійський
Asthenes huancavelicae_Pale-tailed Canastero
Asthenes hudsoni_канастеро блідий
Asthenes maculicauda_канастеро смугастохвостий
Asthenes modesta_канастеро андійський
Asthenes moreirae_корпуана чагарникова
Asthenes ottonis_канастеро рудолобий
Asthenes palpebralis_корпуана перуанська
Asthenes perijana_корпуана періянська
Asthenes pudibunda_канастеро каньйоновий
Asthenes pyrrholeuca_канастеро малий
Asthenes sclateri_канастеро рудокрилий
Asthenes urubambensis_канастеро білобровий
Asthenes virgata_канастеро перуанський
Asthenes wyatti_канастеро скельний
Atalotriccus pilaris_тиранчик жовтоокий
Atelornis crossleyi_підкіпка рудоголова
Atelornis pittoides_підкіпка білогорла
Athene blewitti_сич лісовий
Athene brama_сич браминський
Athene cunicularia_сич американський
Athene noctua_сич хатній
Athene superciliaris_сова-голконіг мадагаскарська
Atimastillas flavicollis_жовточеревець сенегальський
Atlapetes albinucha_заросляк великий
Atlapetes albofrenatus_заросляк вусатий
Atlapetes crassus_Choco Brushfinch
Atlapetes flaviceps_заросляк жовтоголовий
Atlapetes fulviceps_заросляк болівійський
Atlapetes fuscoolivaceus_заросляк колумбійський
Atlapetes latinuchus_заросляк жовтоволий
Atlapetes leucopis_заросляк еквадорський
Atlapetes leucopterus_заросляк малий
Atlapetes melanocephalus_заросляк санта-мартійський
Atlapetes melanolaemus_заросляк чорнощокий
Atlapetes pallidiceps_заросляк світлоголовий
Atlapetes pallidinucha_заросляк рудолобий
Atlapetes personatus_заросляк іржастоголовий
Atlapetes pileatus_заросляк жовточеревий
Atlapetes rufigenis_заросляк рудоголовий
Atlapetes rufinucha_заросляк жовтовусий
Atlapetes schistaceus_заросляк сірогрудий
Atlapetes seebohmi_заросляк сірощокий
Atlapetes semirufus_заросляк вохристоволий
Atlapetes tibialis_волохань коста-риканський
Atlapetes tricolor_заросляк триколірний
Atrichornis clamosus_гущак великий
Atrichornis rufescens_гущак малий
Attagis gayi_атагіс рудочеревий
Atthis ellioti_Wine-throated Hummingbird
Atthis heloisa_Bumblebee Hummingbird
Atticora fasciata_ластівка білосмуга
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_атіла білоокий
Attila cinnamomeus_атіла амазонійський
Attila citriniventris_атіла жовточеревий
Attila phoenicurus_атіла південний
Attila rufus_атіла сіроголовий
Attila spadiceus_атіла золотогузий
Attila torridus_атіла колумбійський
Augastes lumachella_колібрі-капуцин рудохвостий
Augastes scutatus_колібрі-капуцин гіацинтовий
Aulacorhynchus albivitta_Southern Emerald-Toucanet
Aulacorhynchus atrogularis_Black-throated Toucanet
Aulacorhynchus caeruleogularis_Blue-throated Toucanet
Aulacorhynchus coeruleicinctis_тукан жовтоокий
Aulacorhynchus derbianus_тукан амазонійський
Aulacorhynchus haematopygus_тукан червоногузий
Aulacorhynchus prasinus_тукан оливковоголовий
Aulacorhynchus sulcatus_тукан блакитнощокий
Auriparus flaviceps_ремез американський
Automolus exsertus_Chiriqui Foliage-gleaner
Automolus infuscatus_філідор-лісовик бурочеревий
Automolus lammi_Pernambuco Foliage-gleaner
