Aphantochroa cirrochloris_Sombre Hummingbird
Aphelocephala leucopsis_Silkehvitmaske
Aphelocoma californica_Krattskrike
Aphelocoma coerulescens_Floridaskrike
Aphelocoma insularis_Eikeskrike
Aphelocoma ultramarina_Gråbrystskrike
Aphelocoma unicolor_Indigoskrike
Aphelocoma wollweberi_Mexicoskrike
Aphelocoma woodhouseii_Einerskrike
Aphrastura spinicauda_Gulbryntornstjert
Aplonis atrifusca_Samoastær
Aplonis cantoroides_Kantorstær
Aplonis grandis_Brunvingestær
Aplonis metallica_Metallstær
Aplonis mysolensis_Molukkstær
Aplonis opaca_Mikronesiastær
Aplonis panayensis_Orientstær
Aplonis tabuensis_Polynesiastær
Aprositornis disjuncta_Yapacanamaurfugl
Aprosmictus erythropterus_Rødvingeparakitt
Aptenodytes patagonicus_Kongepingvin
Apteryx mantelli_Nordbrunkivi
Apus affinis_Småseiler
Apus apus_Tårnseiler
Apus caffer_Hvitgumpseiler
Apus melba_Alpine Swift
Apus nipalensis_Husseiler
Apus pacificus_Gaffelseiler
Apus pallidus_Gråseiler
Apus unicolor_Kanariseiler
Aquila adalberti_Iberiaørn
Aquila chrysaetos_Kongeørn
Ara ararauna_Blågulara
Ara chloropterus_Grønnvingeara
Ara macao_Rødara
Ara militaris_Soldatara
Ara severus_Brunpanneara
Arachnothera everetti_Borneoedderkoppjeger
Arachnothera flavigaster_Brilleedderkoppjeger
Arachnothera longirostra_Dvergedderkoppjeger
Arachnothera magna_Stripeedderkoppjeger
Aramides albiventris_Rustnakkerikse
Aramides axillaris_Brunhalsrikse
Aramides cajaneus_Gråhalsrikse
Aramides saracura_Saracurarikse
Aramides wolfi_Skogrikse
Aramides ypecaha_Kjemperikse
Aramus guarauna_Riksetrane
Aratinga auricapillus_Ildkroneparakitt
Aratinga jandaya_Jandayaparakitt
Aratinga nenday_Nendayparakitt
Aratinga weddellii_Hvitøreparakitt
Arborophila ardens_Hainanhøne
Arborophila atrogularis_Hvitskjegghøne
Arborophila campbelli_Malayhøne
Arborophila chloropus_Scaly-breasted Partridge
Arborophila crudigularis_Taiwanhøne
Arborophila hyperythra_Borneohøne
Arborophila javanica_Javahøne
Arborophila orientalis_Maskehøne
Arborophila rufogularis_Ruststrupehøne
Arborophila torqueola_Rustkronehøne
Arcanator orostruthus_Flekkbryst
Archilochus alexandri_Svartstrupekolibri
Archilochus colubris_Rubinstrupekolibri
Ardea alba_Egretthegre
Ardea cinerea_Gråhegre
Ardea cocoi_Cocoihegre
Ardea herodias_Herodiashegre
Ardea intermedia_Duskhegre
Ardea purpurea_Purpurhegre
Ardenna creatopus_Chilelire
Ardenna grisea_Grålire
Ardenna pacifica_Kilehalelire
Ardeola bacchus_Vinhegre
Ardeola grayii_Mangrovehegre
Ardeola ralloides_Topphegre
Arenaria interpres_Steinvender
Arenaria melanocephala_Svartsteinvender
Argusianus argus_Argusfasan
Arizelocichla chlorigula_Yellow-throated Mountain Greenbul
Arremon abeillei_Svartkronespurv
Arremon assimilis_Gråbrynkjerrspurv
Arremon atricapillus_Svarthettekjerrspurv
Arremon aurantiirostris_Oransjenebbspurv
Arremon basilicus_Arhuacokjerrspurv
Arremon brunneinucha_Brunissekjerrspurv
Arremon castaneiceps_Kastanjekronespurv
Arremon costaricensis_Costaricakjerrspurv
Arremon crassirostris_Hvitskjeggspurv
Arremon flavirostris_Safrannebbspurv
Arremon franciscanus_Caatingaspurv
Arremon schlegeli_Sadelspurv
Arremon semitorquatus_Svartflekkspurv
Arremon taciturnus_Gulknokespurv
Arremon torquatus_Hvitbrynkjerrspurv
Arremon virenticeps_Grønnkronekjerrspurv
Arremonops chloronotus_Grønnryggspurv
Arremonops conirostris_Akselerandospurv
Arremonops rufivirgatus_Olivenspurv
Arremonops tocuyensis_Tocuyospurv
Arses telescopthalmus_Hvitboamonark
Artamus cinereus_Gråsvalestær
Artamus cyanopterus_Sotsvalestær
Artamus fuscus_Askesvalestær
Artamus leucorynchus_Hvitbuksvalestær
Artamus maximus_Fjellsvalestær
Artamus personatus_Maskesvalestær
Artamus superciliosus_Hvitbrynsvalestær
Artemisiospiza belli_Chaparralspurv
Artemisiospiza nevadensis_Salviespurv
Artisornis metopias_Tanzaniaskredderfugl
Artisornis moreaui_Langnebbskredderfugl
Arundinax aedon_Tykknebbsanger
Arundinicola leucocephala_Hvithodetyrann
Asemospiza fuliginosa_Sotgresspurv
Asemospiza obscura_Blekgresspurv
Asio clamator_Striped Owl
Asio flammeus_Jordugle
Asio otus_Hornugle
Asio stygius_Styksugle
Aspatha gularis_Blåstrupemotmot
Asthenes anthoides_Sørkurvfugl
Asthenes arequipae_Svartvingekurvfugl
Asthenes baeri_Kortnebbkurvfugl
Asthenes coryi_Okerbryntistelstjert
Asthenes dorbignyi_Krembrystkurvfugl
Asthenes flammulata_Stripekurvfugl
Asthenes fuliginosa_Hvithaketistelstjert
Asthenes griseomurina_Umbratistelstjert
Asthenes harterti_Svartstrupetistelstjert
Asthenes helleri_Punatistelstjert
Asthenes heterura_Krattkurvfugl
Asthenes huancavelicae_Svartørekurvfugl
Asthenes hudsoni_Pampaskurvfugl
Asthenes maculicauda_Skrifthalekurvfugl
Asthenes modesta_Gresskurvfugl
Asthenes moreirae_Itatiaiatistelstjert
Asthenes ottonis_Rustpannekurvfugl
Asthenes palpebralis_Brilletistelstjert
Asthenes perijana_Perijatistelstjert
Asthenes pudibunda_Ravinekurvfugl
Asthenes pyrrholeuca_Sylnebbkurvfugl
Asthenes sclateri_Punakurvfugl
Asthenes urubambensis_Brunryggkurvfugl
Asthenes virgata_Juninkurvfugl
Asthenes wyatti_Striperyggkurvfugl
Atalotriccus pilaris_Småalvetyrann
Atelornis crossleyi_Rustmarkråke
Atelornis pittoides_Pittamarkråke
Athene blewitti_Karmaugle
Athene brama_Tempelugle
Athene cunicularia_Graveugle
Athene noctua_Kirkeugle
Athene superciliaris_Gasserfalkugle
Atimastillas flavicollis_Gulstrupeløvbylbyl
