Abeillia abeillei_Zielaczek
Androdon aequatorialis_Zębodziobek
Andropadus importunus_Bilbil zuchwały
Anhima cornuta_Skrzydłoszpon rogaty
Anhinga anhinga_Wężówka amerykańska
Anhinga melanogaster_Wężówka indyjska
Anhinga novaehollandiae_Wężówka australijska
Anisognathus igniventris_Andagra czerwonoucha
Anisognathus lacrymosus_Andagra żółtoucha
Anisognathus notabilis_Andagra złotobrzucha
Anisognathus somptuosus_Andagra żółtołbista
Anodorhynchus hyacinthinus_Modroara hiacyntowa
Anodorhynchus leari_Modroara błękitna
Anorrhinus galeritus_Dzioborożec perukowy
Anorrhinus tickelli_Dzioborożec rdzawobrzuchy
Anous minutus_Rybołówka atolowa
Anous stolidus_Rybołówka brunatna
Anser albifrons_Gęś białoczelna
Anser anser_Gęgawa
Anser brachyrhynchus_Gęś krótkodzioba
Anser caerulescens_Śnieżyca duża
Anser canagicus_Śnieżyca cesarska
Anser cygnoides_Gęś łabędzionosa
Anser erythropus_Gęś mała
Anser fabalis_Gęś zbożowa
Anser indicus_Gęś tybetańska
Anser rossii_Śnieżyca mała
Anser serrirostris_Gęś tundrowa
Anseranas semipalmata_Bezpłetwiec
Anthipes monileger_Gardłówka białobroda
Anthipes solitaris_Gardłówka rdzawobrewa
Anthochaera carunculata_Koralicowiec czerwony
Anthochaera chrysoptera_Koralicowiec kosmaty
Anthochaera lunulata_Koralicowiec mały
Anthochaera paradoxa_Koralicowiec żółty
Anthornis melanura_Szmaragdowiec (zwyczajny)
Anthoscopus minutus_Remizek żółtobrzuchy
Anthoscopus musculus_Remizek blady
Anthracoceros albirostris_Dzioborożec białobrzuchy
Anthracoceros coronatus_Dzioborożec orientalny
Anthracoceros malayanus_Dzioborożec białodzioby
Anthracothorax dominicus_Węglik antylski
Anthracothorax nigricollis_Węglik czarnogardły
Anthracothorax prevostii_Węglik krawatowy
Anthreptes malacensis_Nektarzyk żółtobrzuchy
Anthreptes orientalis_Nektarzyk sawannowy
Anthreptes simplex_Nektarzyk ubogi
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_Świergotek antarktyczny
Anthus berthelotii_Świergotek kanaryjski
Anthus bogotensis_Świergotek andyjski
Anthus brevirostris_Świergotek Taczanowskiego
Anthus campestris_Świergotek polny
Anthus cervinus_Świergotek rdzawogardły
Anthus chacoensis_Świergotek paragwajski
Anthus cinnamomeus_Świergotek cynamonowy
Anthus correndera_Świergotek patagoński
Anthus crenatus_Świergotek natalski
Anthus furcatus_Świergotek krótkodzioby
Anthus godlewskii_Świergotek stepowy
Anthus gustavi_Świergotek tundrowy
Anthus hellmayri_Świergotek trawny
Anthus hodgsoni_Świergotek tajgowy
Anthus leucophrys_Świergotek gładki
Anthus lineiventris_Świergotek kreskowany
Anthus lutescens_Świergotek żółtawy
Anthus nattereri_Świergotek ochrowy
Anthus novaeseelandiae_Świergotek nowozelandzki
Anthus peruvianus_Świergotek peruwiański
Anthus petrosus_Świergotek nadmorski
Anthus pratensis_Świergotek łąkowy
Anthus richardi_Świergotek szponiasty
Anthus roseatus_Świergotek różowy
Anthus rubescens_Świergotek bagienny
Anthus rufulus_Świergotek rdzawy
Anthus similis_Świergotek długodzioby
