Apus affinis_ニシヒメアマツバメ
Apus apus_ヨーロッパアマツバメ
Apus caffer_アフリカコシジロアマツバメ
Apus melba_Alpine Swift
Apus nipalensis_ヒメアマツバメ
Apus pacificus_アマツバメ
Apus pallidus_ウスアマツバメ
Apus unicolor_ハイイロアマツバメ
Aquila adalberti_ニシカタシロワシ
Aquila chrysaetos_イヌワシ
Ara ararauna_ルリコンゴウインコ
Ara chloropterus_ベニコンゴウインコ
Ara macao_コンゴウインコ
Ara militaris_ミドリコンゴウインコ
Ara severus_ヒメコンゴウインコ
Arachnothera everetti_ムナフクモカリドリ
Arachnothera flavigaster_オオキミミクモカリドリ
Arachnothera longirostra_コクモカリドリ
Arachnothera magna_タテジマクモカリドリ
Aramides albiventris_Russet-naped Wood-Rail
Aramides axillaris_チャクビモリクイナ
Aramides cajaneus_コンゴウクイナ
Aramides saracura_ハイムネモリクイナ
Aramides wolfi_チャイロモリクイナ
Aramides ypecaha_オオモリクイナ
Aramus guarauna_ツルモドキ
Aratinga auricapillus_ゴシキメキシコインコ
Aratinga jandaya_ナナイロメキシコインコ
Aratinga nenday_クロガミインコ
Aratinga weddellii_シモフリインコ
Arborophila ardens_ハイナンミヤマテッケイ
Arborophila atrogularis_ノドグロミヤマテッケイ
Arborophila campbelli_Malaysian Partridge
Arborophila chloropus_Scaly-breasted Partridge
Arborophila crudigularis_ミヤマテッケイ
Arborophila hyperythra_ボルネオミヤマテッケイ
Arborophila javanica_ジャワミヤマテッケイ
Arborophila orientalis_スマトラミヤマテッケイ
Arborophila rufogularis_ノドアカミヤマテッケイ
Arborophila torqueola_チャガシラミヤマテッケイ
Arcanator orostruthus_ヤマブチツグミヒタキ
Archilochus alexandri_ノドグロハチドリ
Archilochus colubris_ノドアカハチドリ
Ardea alba_ダイサギ
Ardea cinerea_アオサギ
Ardea cocoi_ナンベイアオサギ
Ardea herodias_オオアオサギ
Ardea intermedia_チュウサギ
Ardea purpurea_ムラサキサギ
Ardenna creatopus_シロハラアカアシミズナギドリ
Ardenna grisea_ハイイロミズナギドリ
Ardenna pacifica_オナガミズナギドリ
Ardeola bacchus_アカガシラサギ
Ardeola grayii_インドアカガシラサギ
Ardeola ralloides_カンムリサギ
Arenaria interpres_キョウジョシギ
Arenaria melanocephala_クロキョウジョシギ
Argusianus argus_セイラン
Arizelocichla chlorigula_ミナミアオノドヒヨ
Arremon abeillei_ズグロシズカシトド
Arremon assimilis_Gray-browed Brushfinch
Arremon atricapillus_ズグロヤブシトド
Arremon aurantiirostris_アカハシシズカシトド
Arremon basilicus_Sierra Nevada Brushfinch
Arremon brunneinucha_クリボウシヤブシトド
Arremon castaneiceps_ハシブトシトド
Arremon costaricensis_Costa Rican Brushfinch
Arremon crassirostris_ウスズミハシブトシトド
Arremon flavirostris_キバシシズカシトド
