Anodorhynchus leari_Aera kobaltový
Anorrhinus galeritus_Zeoborožec chocholatý
Anorrhinus tickelli_Zeoborožec hnědý
Anous minutus_Neody bělotemenný
Anous stolidus_Neody obecný
Anser albifrons_Heusa běločelá
Anser anser_Heusa velká
Anser brachyrhynchus_Heusa krátkozobá
Anser caerulescens_Heusa sněžní
Anser canagicus_Heusa císařská
Anser cygnoides_Heusa labutí
Anser erythropus_Heusa malá
Anser fabalis_Heusa polní
Anser indicus_Heusa indická
Anser rossii_Heusa bělostná
Anser serrirostris_Tundra Bean-Goose
Anseranas semipalmata_Heusovec strakatý
Anthipes monileger_Leejsek bělolímečkový
Anthipes solitaris_Leejsek rezavobrýlatý
Anthochaera carunculata_Lealočnatka jihoaustralská
Anthochaera chrysoptera_Lealočnatka malá
Anthochaera lunulata_Lealočnatka stříbrovousá
Anthochaera paradoxa_Lealočnatka tasmánská
Anthornis melanura_Meedosavka novozélandská
Anthoscopus minutus_Meoudivláček kapský
Anthoscopus musculus_Meoudivláček šedavý
Anthracoceros albirostris_Zeoborožec bělolící
Anthracoceros coronatus_Zeoborožec malabarský
Anthracoceros malayanus_Zeoborožec malajský
Anthracothorax dominicus_Keolibřík antilský
Anthracothorax nigricollis_Keolibřík tropický
Anthracothorax prevostii_Keolibřík lesklý
Anthreptes malacensis_Setrdimil hnědolící
Anthreptes orientalis_Setrdimil vlaštovčí
Anthreptes simplex_Setrdimil šedozelený
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_Leinduška jižní
Anthus berthelotii_Leinduška kanárská
Anthus bogotensis_Leinduška andská
Anthus brevirostris_Puna Pipit
Anthus campestris_Leinduška úhorní
Anthus cervinus_Leinduška rudokrká
Anthus chacoensis_Leinduška paraguajská
Anthus cinnamomeus_Leinduška pastvinná
Anthus correndera_Leinduška jihoamerická
Anthus crenatus_Leinduška jihoafrická
Anthus furcatus_Leinduška krátkozobá
Anthus godlewskii_Leinduška mongolská
Anthus gustavi_Leinduška sibiřská
Anthus hellmayri_Leinduška čárkovaná
Anthus hodgsoni_Leinduška zelená
Anthus leucophrys_Leinduška hnědohřbetá
Anthus lineiventris_Leinduška proužkovaná
Anthus lutescens_Leinduška savanová
Anthus nattereri_Leinduška okrovoprsá
Anthus novaeseelandiae_Leinduška zabajkalská
Anthus peruvianus_Peruvian Pipit
Anthus petrosus_Leinduška skalní
Anthus pratensis_Leinduška luční
Anthus richardi_Leinduška velká
Anthus roseatus_Leinduška růžová
Anthus rubescens_Leinduška proměnlivá
Anthus rufulus_Leinduška rýžová
Anthus similis_Leinduška dlouhozobá
Anthus spinoletta_Leinduška horská
Anthus spragueii_Leinduška prérijní
Anthus sylvanus_Leinduška himálajská
Anthus trivialis_Leinduška lesní
Antigone antigone_Jeeřáb Antigonin
Antigone canadensis_Jeeřáb kanadský
Antigone rubicunda_Jeeřáb australský
Antigone vipio_Jeeřáb červenolící
Antilophia bokermanni_Peipulka Bokermannova
Antilophia galeata_Peipulka přílbová
Antrostomus arizonae_Mexican Whip-poor-will
Antrostomus badius_Leelek yukatanský
Antrostomus carolinensis_Leelek karolinský
Antrostomus noctitherus_Leelek portorický
Antrostomus ridgwayi_Leelek Ridgwayův
Antrostomus rufus_Leelek červenavý
